sortOrder,id,name_cn,description,price_adult_regular,price_adult_phone,price_child_regular,price_child_phone,price_over65,price_under25,price_under18,price_under15,price_free,bestFor,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,officialLinks,purchaseLinks,category,popularity,isLimitedPeriod,ticket_note
1,zenkoku_1,青春１８きっぷ,"青春１８きっぷ || 関連情報 | ＪＲ北海道 / ＪＲ東日本(3日間用) ＪＲ東日本(5日間用) / ＪＲ東海 / ＪＲ西日本 / ＪＲ四国 / ＪＲ九州(3日間用) ＪＲ九州(5日間用) || 問合わせ || フリー区間 | 青春１８きっぷ ＪＲ線全線（宮島航路含む） || 利用可能設備 | 新幹線在来線特急・急行快速・普通ＢＲＴ宮島航路 のぞみ／みずほ号グランクラスグリーン車普通車指定普通者個室普通車自由Ａ個室寝台車Ｂ個室寝台車グリーン個室グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー普通車指定普通車自由 ×××××××××××△×▲▲▲○○○ ○：乗車可 △：一部乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | JRバスは利用不可. 博多～博多南間、越後湯沢～ガーラ湯沢間は乗車不可。 宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税(100円)の支払いが必要。 青森～新青森間,新夕張～新得間,東室蘭～室蘭間,宮崎空港～宮崎間,早岐～佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。 青森～新青森間を相互利用の場合、全車指定席快速列車のあいている席を利用可。 普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。 北海道新幹線の新青森～木古内間を経由し、道南いさりび鉄道線・木古内～五稜郭間を通過する場合、「青春18きっぷ北海道新幹線オプション券(￥4,500)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。 青い森鉄道線の｢青森～八戸」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。 あいの風とやま鉄道線の｢富山～高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡～津幡」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 ハピラインふくい線の｢敦賀～越前花堂」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 有効期間が最終日の場合、最終列車まで利用可能。 || ねだん | ３日間用：大人/小人 10,000円 / ５日間用：大人/小人 12,050円 || 有効期間 | ３日間／５日間 || 発売期間 | ３日間用：2026年2月13日～2026年4月8日 / 2026年7月3日～2026年9月6日 / 2026年11月27日～2027年1月9日 / ５日間用：2026年2月13日～2026年4月6日 / 2026年7月3日～2026年9月4日 / 2026年11月27日～2027年1月7日 / || 利用期間 | 2026年3月1日～2026年4月10日 / 2026年7月18日～2026年9月8日 / 2026年12月11日～2027年1月11日 / || 発売箇所 | ＪＲの主な駅,駅の旅行センター,営業支店,主な旅行会社
限制事项: JRバスは利用不可. 博多～博多南間、越後湯沢～ガーラ湯沢間は乗車不可。 宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税(100円)の支払いが必要。 青森～新青森間,新夕張～新得間,東室蘭～室蘭間,宮崎空港～宮崎間,早岐～佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。 青森～新青森間を相互利用の場合、全車指定席快速列車のあいている席を利用可。 普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。 北海道新幹線の新青森～木古内間を経由し、道南いさりび鉄道線・木古内～五稜郭間を通過する場合、「青春18きっぷ北海道新幹線オプション券(￥4,500)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。 青い森鉄道線の｢青森～八戸」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。 あいの風とやま鉄道線の｢富山～高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡～津幡」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 ハピラインふくい線の｢敦賀～越前花堂」間は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 有効期間が最終日の場合、最終列車まで利用可能。
相关信息: ＪＲ北海道 / ＪＲ東日本(3日間用) ＪＲ東日本(5日間用) / ＪＲ東海 / ＪＲ西日本 / ＪＲ四国 / ＪＲ九州(3日間用) ＪＲ九州(5日間用)","３日間用：大人/小人 10,000円 / ５日間用：大人/小人 12,050円",,,,,,,,,,３日間／５日間,３日間用：2026年2月13日～2026年4月8日 / 2026年7月3日～2026年9月6日 / 2026年11月27日～2027年1月9日 / ５日間用：2026年2月13日～2026年4月6日 / 2026年7月3日～2026年9月4日 / 2026年11月27日～2027年1月7日 /,,2026年3月1日～2026年4月10日 / 2026年7月18日～2026年9月8日 / 2026年12月11日～2027年1月11日 /,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/18.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/20th18kippu.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/japan.gif,,新幹線在来線特急・急行快速・普通ＢＲＴ宮島航路 のぞみ／みずほ号グランクラスグリーン車普通車指定普通者個室普通車自由Ａ個室寝台車Ｂ個室寝台車グリーン個室グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー普通車指定普通車自由 ×××××××××××△×▲▲▲○○○ ○：乗車可 △：一部乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/18kippu.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=3000 | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=3001 | https://jr-central.co.jp/news/release/_pdf/000044897.pdf | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=126000037 | https://www.jrhokkaido.co.jp/CM/Otoku/007207/ | https://www.jrkyushu-kippu.jp/fare/ticket/423 | https://www.jrkyushu-kippu.jp/fare/ticket/424,"ＪＲの主な駅,駅の旅行センター,営業支店,主な旅行会社",,,,
2,zenkoku_2,秋の乗り放題パス,"秋の乗り放題パス || 関連情報 | ＪＲ北海道 ＪＲ東日本 ＪＲ東海 ＪＲ西日本 ＪＲ四国 ＪＲ九州 || 問合わせ || フリー区間 | 秋の乗り放題パス ＪＲ線全線、ＪＲ西日本宮島フェリー || 利用可能設備 | 新幹線在来線特急・急行快速・普通ＢＲＴ宮島航路 のぞみ／みずほ号グランクラスグリーン車普通車指定普通者個室普通車自由Ａ個室寝台車Ｂ個室寝台車グリーン個室グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー普通車指定普通車自由 ×××××××××××△ / *1×▲▲▲○○○ ○：乗車可 △：一部乗車可 ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。 青森～新青森間,新夕張～新得間,東室蘭～室蘭間,宮崎空港～宮崎間,早岐～佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。 博多～博多南間、越後湯沢～ガーラ湯沢間は乗車不可。 青い森鉄道線の｢青森～八戸間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。 北海道新幹線の津軽いまべつ～木古内間及び道南いさりび鉄道線・木古内～五稜郭間相互は、「青春18きっぷ北海道新幹線オプション券(￥2,490)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。 あいの風とやま鉄道線の｢富山～高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡～津幡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 ハピラインふくい線の｢敦賀～越前花堂間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 乗車した列車が０時をまたがって運転される場合、０時を越えて最初に停車する駅まで有効。東京・大阪の電車区間は終電まで有効。 宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税（100円）の支払いが必要。 || ねだん | おとな：7,850円 こども：3,920円 || 有効期間 | ３日間 || 発売期間 | 2025年9月12日～2025年10月17日 || 利用期間 | 2025年10月4日～2025年10月19日 || 発売箇所 | ＪＲの主な駅,駅の旅行センター,営業支店,主な旅行会社
限制事项: 普通列車のグリーン車自由席はグリーン券を購入すれば乗車可。 青森～新青森間,新夕張～新得間,東室蘭～室蘭間,宮崎空港～宮崎間,早岐～佐世保間を相互発着する場合のみ、特急自由席(全車指定席列車はあいている席)を利用可。 博多～博多南間、越後湯沢～ガーラ湯沢間は乗車不可。 青い森鉄道線の｢青森～八戸間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。野辺地駅のみ途中下車可。 北海道新幹線の津軽いまべつ～木古内間及び道南いさりび鉄道線・木古内～五稜郭間相互は、「青春18きっぷ北海道新幹線オプション券(￥2,490)」を購入すれば片道1回のみ利用可能。木古内のみ途中下車可。 あいの風とやま鉄道線の｢富山～高岡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 あいの風とやま鉄道・IRいしかわ鉄道線の｢富山・高岡～津幡間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 ハピラインふくい線の｢敦賀～越前花堂間｣は、通過利用する場合に限り普通列車(快速含む)について運賃不要。途中下車不可。 乗車した列車が０時をまたがって運転される場合、０時を越えて最初に停車する駅まで有効。東京・大阪の電車区間は終電まで有効。 宮島口からJR西日本宮島フェリーに乗船する場合は、別途現地にて宮島訪問税（100円）の支払いが必要。
相关信息: ＪＲ北海道 ＪＲ東日本 ＪＲ東海 ＪＲ西日本 ＪＲ四国 ＪＲ九州","おとな：7,850円 こども：3,920円",,,,,,,,,,３日間,2025年9月12日～2025年10月17日,,2025年10月4日～2025年10月19日,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/autumn.jpg | https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/japan.gif,,新幹線在来線特急・急行快速・普通ＢＲＴ宮島航路 のぞみ／みずほ号グランクラスグリーン車普通車指定普通者個室普通車自由Ａ個室寝台車Ｂ個室寝台車グリーン個室グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー普通車指定普通車自由 ×××××××××××△ / *1×▲▲▲○○○ ○：乗車可 △：一部乗車可 ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/autumn.htm | https://jr-central.co.jp/news/release/_pdf/000044517.pdf | https://tickets.jr-odekake.net/shohindb/view/consumer/tokutoku/detail.html?shnId=125000282 | https://www.jr-eki.com/ticket/brand/2-EQ0 | https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2979 | https://www.jrhokkaido.co.jp/CM/Otoku/007153/ | https://www.jrkyushu.co.jp/common/inc/news/newtopics/__icsFiles/afieldfile/2025/09/02/20250902_Release_of_the_Autumn_Unlimited_Ride_Pass_and_the_Autumn_Unlimited_Ride_Pass_Hokkaido_Shinkansen_Option_Ticket.pdf,"ＪＲの主な駅,駅の旅行センター,営業支店,主な旅行会社",,,,
3,zenkoku_3,北海道＆東日本パス,"北海道＆東日本パス || 関連情報 | ＪＲ東日本 ＪＲ北海道 || 問合わせ || フリー区間 | ＪＲ東日本：全線 ＪＲ北海道：全線 北越急行 ：全線 青い森鉄道：全線 ＩＧＲいわて銀河鉄道：全線 || 利用可能設備 | 東北・上越・北陸新幹線北海道新幹線在来線特急・急行快速・普通ＢＲＴ 寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 ×△*1×××△*2 / *3×▲▲▲○○ ○：乗車可 △：制限事項あり ▲：乗車券のみ有効 ×：乗車不可 / || 制限事項 | 新青森～新函館北斗間内相互発着利用の場合、特定特急券を購入すれば北海道新幹線の空席を利用可能 新青森～青森間相互利用の場合は、特急普通車自由席、全車指定席の普通列車(快速含む)の空席に乗車可 新夕張～新得間,東室蘭～室蘭間相互利用の場合は、特急列車の空席に乗車可 || ねだん | 大人：11,780円／小人：5,890円 / || 有効期間 | 利用期間内の連続する７日間 || 発売期間 | 春季：2026年2月13日～2026年4月16日 / 夏季：2026年6月20日～2026年9月24日 / 冬季：2026年11月27日～2027年1月5日 / || 利用期間 | 春季：2026年3月1日～2026年4月22日 / 夏季：2026年7月1日～2026年9月30日 / 冬季：2026年12月11日～2027年1月11日 / || 発売箇所 | ＪＲ北海道、ＪＲ東日本の主な駅、駅の旅行センターおよび主な旅行会社
限制事项: 新青森～新函館北斗間内相互発着利用の場合、特定特急券を購入すれば北海道新幹線の空席を利用可能 新青森～青森間相互利用の場合は、特急普通車自由席、全車指定席の普通列車(快速含む)の空席に乗車可 新夕張～新得間,東室蘭～室蘭間相互利用の場合は、特急列車の空席に乗車可
相关信息: ＪＲ東日本 ＪＲ北海道","大人：11,780円／小人：5,890円 /",,,,,,,,,,利用期間内の連続する７日間,春季：2026年2月13日～2026年4月16日 / 夏季：2026年6月20日～2026年9月24日 / 冬季：2026年11月27日～2027年1月5日 /,,春季：2026年3月1日～2026年4月22日 / 夏季：2026年7月1日～2026年9月30日 / 冬季：2026年12月11日～2027年1月11日 /,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/gazou/jreast04_1.jpg,,東北・上越・北陸新幹線北海道新幹線在来線特急・急行快速・普通ＢＲＴ 寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 ×△*1×××△*2 / *3×▲▲▲○○ ○：乗車可 △：制限事項あり ▲：乗車券のみ有効 ×：乗車不可 /,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast04.htm | http://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2962 | https://www.jrhokkaido.co.jp/CM/Otoku/007213/,ＪＲ北海道、ＪＲ東日本の主な駅、駅の旅行センターおよび主な旅行会社,,,,
4,zenkoku_4,大人の休日倶楽部パス(東日本･北海道),"大人の休日倶楽部パス / (東日本・北海道) || 関連情報 | 普通車用：ＪＲ北海道 ＪＲ東日本 / グリーン車用：ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部 || 問合わせ | ＪＲ東日本 || フリー区間 | ＪＲ東日本：全線（新幹線含む） ＪＲ北海道：全線（新幹線含む） 青い森鉄道：全線 IGRいわて銀河鉄道：全線 三陸鉄道：全線 北越急行：全線 伊豆急行：全線 富士急行：全線 えちごトキめき鉄道：直江津～新井間 ＢＲＴ：全線 || 利用可能設備 | 東海道新幹線北海道･東北･秋田･山形 / 上越･北陸新幹線在来線特急/急行快速・普通ＢＲＴ グランクラスグリーン車普通車指定普通車自由Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×▲▲△○▲▲▲△○▲▲▲△○○ グリーン車用×▲△△○▲▲△△○△○△△○○ ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 / ×：乗車不可 || 制限事項 | 大人の休日倶楽部会員限定。 利用日当日の発売無し。(利用開始日の1カ月前から前日の発売) 特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。 事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。 富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。 東海道新幹線乗車不可。 || ねだん | 大人の休日倶楽部会員限定 / 購入場所グリーン車用普通車用 えきねっと51,000円28,000円 窓口 設定なし29,000円 || 有効期間 | ５日間 || 発売期間 | 利用開始日の1ヵ月前から前日まで / 2026年5月23日～2026年6月29日 / 2026年7月3日～2026年9月7日 / 2026年12月18日～2027年1月25日 / || 利用期間 | 2026年6月22日～2026年7月4日 / 2026年8月31日～2026年9月12日 / 2026年1月18日～2027年1月30日 / || 発売箇所 | JR東日本の主な駅の指定席券売機 / びゅうプラザ・みどりの窓口 / JR北海道の主な駅のみどりの窓口 || 発売枚数 | 大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、 普通車用：30,000枚/日、グリーン車用：1,000枚/期間
限制事项: 大人の休日倶楽部会員限定。 利用日当日の発売無し。(利用開始日の1カ月前から前日の発売) 特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。 事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。 富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。 東海道新幹線乗車不可。
其他详情: {""発売枚数"": ""大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、 普通車用：30,000枚/日、グリーン車用：1,000枚/期間""}
相关信息: 普通車用：ＪＲ北海道 ＪＲ東日本 / グリーン車用：ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部
咨询: ＪＲ東日本","大人の休日倶楽部会員限定 / 購入場所グリーン車用普通車用 えきねっと51,000円28,000円 窓口 設定なし29,000円",,,,,,,,,,５日間,利用開始日の1ヵ月前から前日まで / 2026年5月23日～2026年6月29日 / 2026年7月3日～2026年9月7日 / 2026年12月18日～2027年1月25日 /,,2026年6月22日～2026年7月4日 / 2026年8月31日～2026年9月12日 / 2026年1月18日～2027年1月30日 /,,,,東海道新幹線北海道･東北･秋田･山形 / 上越･北陸新幹線在来線特急/急行快速・普通ＢＲＴ グランクラスグリーン車普通車指定普通車自由Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×▲▲△○▲▲▲△○▲▲▲△○○ グリーン車用×▲△△○▲▲△△○△○△△○○ ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 / ×：乗車不可,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast203.htm | https://jre-ot9.jp/ticket/clubpass.html#overview,JR東日本の主な駅の指定席券売機 / びゅうプラザ・みどりの窓口 / JR北海道の主な駅のみどりの窓口,,,,
5,zenkoku_5,大人の休日パス(東日本・北海道スペシャル),"大人の休日パス / (東日本・北海道スペシャル) || 関連情報 | 普通車用：ＪＲ北海道 ＪＲ東日本(普通車用) / グリーン車用：ＪＲ北海道 ＪＲ東日本(グリーン車用) / ＪＲ東日本・大人の休日倶楽部 || 問合わせ | ＪＲ東日本 || フリー区間 | ＪＲ東日本：全線（新幹線含む） ＪＲ北海道：全線（新幹線含む） 青い森鉄道：全線 IGRいわて銀河鉄道：全線 三陸鉄道：全線 北越急行：全線 伊豆急行：全線 富士急行：全線 えちごトキめき鉄道：直江津～新井間 ＢＲＴ：全線 || 利用可能設備 | 東海道新幹線北海道新幹線東北･秋田･山形 / 上越･長野新幹線在来線特急/急行快速・普通ＢＲＴ グランクラスグリーン車普通車指定グランクラスグリーン車普通車指定普通車自由Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×▲▲△▲▲△○▲▲▲△○▲▲▲△○○ グリーン車用×▲△△▲△△○▲▲△△○△△▲△○○ ○：乗車可 △：合計６回まで利用可 / ▲：乗車券のみ有効 / ×：乗車不可 || 制限事項 | 大人の休日倶楽部会員限定。 利用日当日の発売無し。(利用開始日の1カ月前から前日の発売) 特急(北海道・東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。 事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。 富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。 東海道新幹線乗車不可。 || ねだん | 大人の休日倶楽部会員 / 普通車用：26,740円 グリーン車用：50,250円 || 有効期間 | 利用期間内の連続する５日間 || 発売期間 | 2025年8月25日～2025年9月29日 || 利用期間 | 2025年9月25日～2025年10月4日 || 発売箇所 | えきねっと
限制事项: 大人の休日倶楽部会員限定。 利用日当日の発売無し。(利用開始日の1カ月前から前日の発売) 特急(北海道・東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。 事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。 富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。 東海道新幹線乗車不可。
相关信息: 普通車用：ＪＲ北海道 ＪＲ東日本(普通車用) / グリーン車用：ＪＲ北海道 ＪＲ東日本(グリーン車用) / ＪＲ東日本・大人の休日倶楽部
咨询: ＪＲ東日本","大人の休日倶楽部会員 / 普通車用：26,740円 グリーン車用：50,250円",,,,,,,,,,利用期間内の連続する５日間,2025年8月25日～2025年9月29日,,2025年9月25日～2025年10月4日,,,,東海道新幹線北海道新幹線東北･秋田･山形 / 上越･長野新幹線在来線特急/急行快速・普通ＢＲＴ グランクラスグリーン車普通車指定グランクラスグリーン車普通車指定普通車自由Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用×▲▲△▲▲△○▲▲▲△○▲▲▲△○○ グリーン車用×▲△△▲△△○▲▲△△○△△▲△○○ ○：乗車可 △：合計６回まで利用可 / ▲：乗車券のみ有効 / ×：乗車不可,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast205.htm | https://jre-ot9.jp/ticket/?header_link#special2309 | https://www.eki-net.com/personal/top/index | https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2975 | https://www.jreast.co.jp/tickets/info.aspx?GoodsCd=2976 | https://www.jrhokkaido.co.jp/CM/Otoku/007147/ | https://www.jrhokkaido.co.jp/CM/Otoku/007148/,えきねっと,,,,
6,zenkoku_6,大人の休日倶楽部パス(東日本),"大人の休日倶楽部パス / (東日本) || 関連情報 | 普通車用：ＪＲ北海道 ＪＲ東日本 / グリーン車用：ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部 || 問合わせ | ＪＲ東日本 || フリー区間 | 大人の休日倶楽部パス(東日本) || 利用可能設備 | 東海道新幹線北海道新幹線東北･秋田･山形 / 上越･北陸新幹線在来線特急/急行快速・普通ＢＲＴ グランクラスグリーン車普通車指定普通車自由Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用××▲▲△○▲▲▲△○▲▲▲△○○ グリーン車用××▲△△○▲▲△△○△○△△○○ ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 / ×：乗車不可 || 制限事項 | 大人の休日倶楽部会員限定。 利用日当日の発売無し。(利用開始日の1カ月前から前日の発売) 特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。 事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。 富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。 東海道新幹線乗車不可。 || ねだん | 大人の休日倶楽部会員限定 購入場所グリーン車用普通車用 えきねっと36,000円20,000円 窓口 設定なし21,000円 || 有効期間 | ５日間 || 発売期間 | 利用開始日の1ヵ月前から前日まで / 2026年5月23日～2026年6月29日 / 2026年7月3日～2026年9月7日 / 2026年12月18日～2027年1月25日 / || 利用期間 | 2026年6月22日～2026年7月4日 / 2026年8月31日～2026年9月12日 / 2026年1月18日～2027年1月30日 / || 発売箇所 | JR東日本の主な駅の指定席券売機 / びゅうプラザ・みどりの窓口 || 発売枚数 | 大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、 普通車用：30,000枚/日、グリーン車用：1,000枚/期間
限制事项: 大人の休日倶楽部会員限定。 利用日当日の発売無し。(利用開始日の1カ月前から前日の発売) 特急(東北・上越・山形・秋田・北陸新幹線を含む)急行・普通列車の自由席が利用可能。 事前に座席指定を行えば、普通車指定席を６回まで利用することが出来る。 富士急行の「フジサン特急」の展望車に乗車する場合は着席整理券必要。また、「富士登山電車」に乗車する場合も着席券が必要。 東海道新幹線乗車不可。
其他详情: {""発売枚数"": ""大人の休日倶楽部パス (東日本,東日本・北海道,北海道)の合計で、 普通車用：30,000枚/日、グリーン車用：1,000枚/期間""}
相关信息: 普通車用：ＪＲ北海道 ＪＲ東日本 / グリーン車用：ＪＲ北海道 ＪＲ東日本 / ＪＲ東日本・大人の休日倶楽部
咨询: ＪＲ東日本","大人の休日倶楽部会員限定 購入場所グリーン車用普通車用 えきねっと36,000円20,000円 窓口 設定なし21,000円",,,,,,,,,,５日間,利用開始日の1ヵ月前から前日まで / 2026年5月23日～2026年6月29日 / 2026年7月3日～2026年9月7日 / 2026年12月18日～2027年1月25日 /,,2026年6月22日～2026年7月4日 / 2026年8月31日～2026年9月12日 / 2026年1月18日～2027年1月30日 /,,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/map/jreast201.gif,,東海道新幹線北海道新幹線東北･秋田･山形 / 上越･北陸新幹線在来線特急/急行快速・普通ＢＲＴ グランクラスグリーン車普通車指定普通車自由Ａ寝台車Ｂ寝台車グリーン車普通車指定普通車自由グリーン車指定グリーン車自由ライナー指定自由 普通車用××▲▲△○▲▲▲△○▲▲▲△○○ グリーン車用××▲△△○▲▲△△○△○△△○○ ○：乗車可 △：合計６回まで利用可 ▲：乗車券のみ有効 / ×：乗車不可,https://www2s.biglobe.ne.jp/~t_aoyagi/railway/free/jreast201.htm | https://jre-ot9.jp/ticket/clubpass.html#overview,JR東日本の主な駅の指定席券売機 / びゅうプラザ・みどりの窓口,,,,
